cim_field,data_model
retention,Splunk_Audit
size,Splunk_Audit
summary_id,Splunk_Audit
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dest_port,Splunk_CIM_Validation
transport,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
process,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
service,Splunk_CIM_Validation
start_mode,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
action,Splunk_CIM_Validation
app,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
src,Splunk_CIM_Validation
user,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
ssl_hash,Splunk_CIM_Validation
ssl_issuer,Splunk_CIM_Validation
ssl_subject,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
action,Splunk_CIM_Validation
command,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
object_category,Splunk_CIM_Validation
src,Splunk_CIM_Validation
user,Splunk_CIM_Validation
action,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
object,Splunk_CIM_Validation
object_category,Splunk_CIM_Validation
object_path,Splunk_CIM_Validation
status,Splunk_CIM_Validation
user,Splunk_CIM_Validation
action,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
file_access_time,Splunk_CIM_Validation
file_acl,Splunk_CIM_Validation
file_create_time,Splunk_CIM_Validation
file_hash,Splunk_CIM_Validation
file_modify_time,Splunk_CIM_Validation
file_name,Splunk_CIM_Validation
file_path,Splunk_CIM_Validation
file_size,Splunk_CIM_Validation
object,Splunk_CIM_Validation
object_category,Splunk_CIM_Validation
object_path,Splunk_CIM_Validation
status,Splunk_CIM_Validation
user,Splunk_CIM_Validation
action,Splunk_CIM_Validation
command,Splunk_CIM_Validation
dvc,Splunk_CIM_Validation
user,Splunk_CIM_Validation
action,Splunk_CIM_Validation
command,Splunk_CIM_Validation
dvc,Splunk_CIM_Validation
user,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
cpu_cores,Splunk_CIM_Validation
cpu_count,Splunk_CIM_Validation
cpu_mhz,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
mem,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dns,Splunk_CIM_Validation
interface,Splunk_CIM_Validation
ip,Splunk_CIM_Validation
mac,Splunk_CIM_Validation
name,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
os,Splunk_CIM_Validation
version,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
mount,Splunk_CIM_Validation
storage,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
action,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
src,Splunk_CIM_Validation
src_user,Splunk_CIM_Validation
vendor_product,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
category,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dvc,Splunk_CIM_Validation
ids_type,Splunk_CIM_Validation
severity,Splunk_CIM_Validation
signature,Splunk_CIM_Validation
src,Splunk_CIM_Validation
user,Splunk_CIM_Validation
vendor_product,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
action,Splunk_CIM_Validation
category,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dest_nt_domain,Splunk_CIM_Validation
signature,Splunk_CIM_Validation
user,Splunk_CIM_Validation
vendor_product,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
dest_nt_domain,Splunk_CIM_Validation
product,Splunk_CIM_Validation
vendor,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
answer,Splunk_CIM_Validation
dest,Splunk_CIM_Validation
message_type,Splunk_CIM_Validation
query,Splunk_CIM_Validation
reply_code,Splunk_CIM_Validation
src,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
host,Splunk_CIM_Validation
source,Splunk_CIM_Validation
sourcetype,Splunk_CIM_Validation
dest_ip,Splunk_CIM_Validation
_time,Splunk_CIM_Validation
