"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Registry activities","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,Compliance,,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1500","Recognizing improper use of system administration tools","https://lantern.splunk.com/@go/page/520","Industry Neutral",,Active,"Removed System Log data",,,,
"Registry key modifications","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2871","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Registry keys used for privilege escalation","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,Compliance,,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/542","Recognizing improper use of system administration tools","https://lantern.splunk.com/@go/page/520","Industry Neutral",,Active,,,,,
"Remote logons to a host","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures",Compliance,,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/545","Recognizing improper use of system administration tools","https://lantern.splunk.com/@go/page/520","Industry Neutral",,Active,"Removed System Log data",,,,
"Removable devices connected to a machine","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/801","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"Reporting on MOVEit automation activities","Technical Capability","Digital Resilience","Foundational Visibility","File integrity monitoring","Visualizations and Reporting",,Security,,"File integrity monitoring",,"https://lantern.splunk.com/@go/page/7906","Visualization and Reporting","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Visualizations_and_reporting","Industry Neutral",,Active,,,,,
"Reporting on MOVEit transfer activities","Technical Capability","Digital Resilience","Foundational Visibility","File integrity monitoring","Visualizations and Reporting",,Security,,"File integrity monitoring",,"https://lantern.splunk.com/@go/page/7907","Visualization and Reporting","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Visualizations_and_reporting","Industry Neutral",,Active,,,,,
"Reporting on key trade statistics in a brokerage","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2740",,,"Financial Services and Insurance",,Active,,,,,
"Reporting on key trade statistics in a brokerage","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2740",,,"Financial Services and Insurance",,Active,,,,,
"Request headers in API checks","Technical Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions/Request_headers_in_API_checks","Monitoring API transactions","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions","Industry Neutral",,Active,,,,,
"Requests to a large number of subdomains","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/731","Monitoring a network for DNS exfiltration","http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral",,Active,,,,,
"Resources with non-compliant AWS configuration rules","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Configuration logs data",,"https://lantern.splunk.com/@go/page/658","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Resources with non-compliant policy rules",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/IT_Ops/Managing_Azure_cloud_infrastructure/Azure_resources_with_non-compliant_policy_rules",,,,,,,,,,
"Responding to incidents with the Splunk platform and Fox-IT's Dissect","Technical Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,Endpoint,,"https://lantern.splunk.com/@go/page/6395","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Review alerts received when a pending state occurs",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Kubernetes_pods/Review_alerts_received_when_a_pending_state_occurs",,,,,,,,,,
"Review pod status in the Kubernetes navigator",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Kubernetes_pods/Review_pod_status_in_the_Kubernetes_navigator",,,,,,,,,,
"Riskiest ATM users","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/1537","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"Riskiest ATM users","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1537","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"Routing root user events to a special index","Technical Capability","Digital Resilience","Foundational Visibility",Authentication,"Data Optimization",,Security,,Authentication,,"https://lantern.splunk.com/@go/page/6580","Data Strategy (Previously Data Optimization)","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Data_optimization","Industry Neutral",,Active,,,,,
"Running Synthetics browser tests","Technical Use Case","Digital Resilience","Proactive Response","Synthetic monitoring","Improve End User Experiences",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/@go/page/6691","Optimize End User Experiences","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Change data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Running common General Data Protection Regulation (GDPR) compliance searches","Analytic Use Case","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Web Proxy data",,"https://lantern.splunk.com/@go/page/521",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"SSL certificates nearing expiration","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance/SSL_certificates_nearing_expiration","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"Salesforce account compromise","Analytic Capability","Digital Resilience","Guided Insights","Network VPN","Threat Hunting",,Security,,"Network Access Control data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Protecting_a_Salesforce_cloud_deployment/Salesforce_account_compromise","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Salesforce account compromise","Analytic Capability","Digital Resilience","Guided Insights","Network VPN","Threat Hunting",,Security,,"Network VPN data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Protecting_a_Salesforce_cloud_deployment/Salesforce_account_compromise","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Salesforce account compromise","Analytic Capability","Digital Resilience","Guided Insights","Network VPN","Threat Hunting",,Security,,"Salesforce data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Protecting_a_Salesforce_cloud_deployment/Salesforce_account_compromise","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Schtasks.exe registering binaries or scripts to run from a public directory","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2879","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Schtasks.exe used to force a reboot","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2875","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Secure facilities access auditing","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2467","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Secure facilities access auditing","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Physical Card Reader data",,"https://lantern.splunk.com/@go/page/2467","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Securing a work-from-home organization","Analytic Use Case","Digital Resilience","Foundational Visibility","Network access control","Security Monitoring",,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/737","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,"Removed System Log data. Also missing Video Conferencing and Communication data",,,,
"Securing a work-from-home organization","Analytic Use Case","Digital Resilience","Foundational Visibility","Network access control","Security Monitoring",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/737","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,"Removed System Log data. Also missing Video Conferencing and Communication data",,,,
"Securing a work-from-home organization","Analytic Use Case","Digital Resilience","Foundational Visibility","Network access control","Security Monitoring",,Security,,"Network VPN data",,"https://lantern.splunk.com/@go/page/737","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,"Removed System Log data. Also missing Video Conferencing and Communication data",,,,
"Securing and monitoring federated search","Technical Capability","Digital Resilience","Unified Workflows","N/A","Federate Access and Analytics",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/7589",,,"Industry Neutral",,Active,,,,,
"Securing medical devices from cyberattacks","Analytic Capability","Digital Resilience","Foundational Visibility","Medical device","Security Monitoring",,Security,,"Intrusion Detection data",,"https://lantern.splunk.com/@go/page/3784","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Securing medical devices from cyberattacks","Analytic Capability","Digital Resilience","Foundational Visibility","Medical device","Security Monitoring",,Security,,"Medical Device data",,"https://lantern.splunk.com/@go/page/3784","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Securing medical devices from cyberattacks","Analytic Capability","Digital Resilience","Foundational Visibility","Medical device","Security Monitoring",,Security,,"Network Router data",,"https://lantern.splunk.com/@go/page/3784","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Securing medical devices from cyberattacks","Analytic Capability","Digital Resilience","Foundational Visibility","Medical device","Security Monitoring",,Security,,"Vulnerability Scanning data",,"https://lantern.splunk.com/@go/page/3784","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Selecting observability use cases for the Splunk platform",,,,,,,,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Observability/Selecting_observability_use_cases_for_the_Splunk_platform",,,,,,,,,,
"Selecting security use cases for the Splunk platform",,,,,,,,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Security/Selecting_security_use_cases_for_the_Splunk_platform",,,,,,,,,,
"Selectors for multi-step browser tests","Analytic Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests/Selectors_for_multi-step_browser_tests","Running Synthetics browser tests","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests","Industry Neutral",,Active,,,,,
"Sending masked PII data to the Splunk platform and routing unmasked data to federated search for Amazon S3",Capability,"Digital Resilience Journey","Foundational Visibility",,Compliance,,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance/Sending_masked_PII_data_to_the_Splunk_platform_and_routing_unmasked_data_to_federated_search_for_Amazon_S3",,,,,,,,,,
"Server Message Block (SMB) traffic connection spikes","Analytic Capability","Digital Resilience","Guided Insights","Network communication","Threat Hunting",,Security,,"Network Protocol data",,"https://lantern.splunk.com/@go/page/2877","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Shadow copies deleted","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2870","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Shipping delay detection",Capability,Platform,,,Industry,Manufacturing,Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Optimizing_your_inventory/Shipping_delay_detection",,,,,,,,,,
"Signs of beaconing activity","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/732","Monitoring a network for DNS exfiltration","http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral",,Active,,,,,
"Solution Accelerator for Operational Technology (OT) Security","Technical Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8373",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"Solution Accelerator for Supply Chain Optimization","Technical Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8373",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"Source types available","Analytic Capability","Digital Resilience","Foundational Visibility","N/A","Incident Management",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/776","Creating a timebound picture of network activity","https://lantern.splunk.com/@go/page/722","Industry Neutral",,Active,"Removed System Log data",,,,
"Spike in exported records from Salesforce cloud","Analytic Capability","Digital Resilience","Guided Insights","Data loss prevention","Threat Hunting",,Security,,"Salesforce data",,"https://lantern.splunk.com/@go/page/643","Protecting a Salesforce cloud deployment","https://lantern.splunk.com/@go/page/622","Industry Neutral",,Active,,,,,
"Spikes in printer activity in a Windows environment","Analytic Capability","Digital Resilience","Foundational Visibility",Printers,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/700","Managing printers in a Windows environment","https://lantern.splunk.com/@go/page/635","Industry Neutral",,Active,,,,,
"Subscribers with the highest outbound call volume","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2373","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Successful VPN logins over time","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,"Security Monitoring",,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/2489","Securing a work-from-home organization","https://lantern.splunk.com/@go/page/737","Industry Neutral",,Active,,,,,
"Successful call statistics by geography","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2374","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Successful logins to a *nix server","Analytic Capability","Digital Resilience","Foundational Visibility","User activity logs","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/675","Managing *nix system user account behavior","https://lantern.splunk.com/@go/page/631","Industry Neutral",,Active,,,,,
"Supporting a cloud forensics workflow","Technical Capability","Digital Resilience","Foundational Visibility","N/A","Incident Management",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/7901","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Suspicious domains visited by a user","Analytic Capability","Digital Resilience","Foundational Visibility","Deep packet inspection","Incident Management",,Security,,"Deep Packet Inspection data",,"https://lantern.splunk.com/@go/page/802","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,,,,,
"Suspicious script in the command line","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/805","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"Suspicious session behavior","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Application data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Suspicious_session_behavior","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Suspicious session behavior","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Financial data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Suspicious_session_behavior","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Suspicious web traffic","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Application data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Suspicious_web_traffic","Anomaly Detection",,"Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Suspicious web traffic","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Financial data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_consumer_bank_account_takeovers/Suspicious_web_traffic","Anomaly Detection",,"Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Synthetic checks for URL response times","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/5807","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"Systems vulnerable to Supernova malware","Analytic Capability","Digital Resilience","Guided Insights","Vulnerability detection","Threat Hunting",,Security,,"Vulnerability Scanning data",,"https://lantern.splunk.com/@go/page/1772","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
"Systems with the update service disabled","Analytic Capability","Digital Resilience","Foundational Visibility","Patch management",Compliance,,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/552","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,"Removed System Log data",,,,
"TOR traffic","Analytic Capability","Digital Resilience","Guided Insights","Network firewall","Threat Hunting",,Security,,"Network Firewall data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Detecting_a_ransomware_attack/TOR_traffic","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Ticket-based API authentication","Technical Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions/Ticket-based_API_authentication","Monitoring API transactions","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions","Industry Neutral",,Active,,,,,
"Time elapsed between two related events","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/804","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,,,,,
"Top audit failures by user in Dell Isilon NAS","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Storage data",,"https://lantern.splunk.com/@go/page/693","Managing Dell Isilion network attached storage","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Managing_Dell_Isilon_network_attached_storage","Industry Neutral",,Active,,,,,
"Top five most common web browsers","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/704","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"Top ten highest network utilization queries","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/694","Analyzing wire data from databases","https://lantern.splunk.com/@go/page/633","Industry Neutral",,Active,,,,,
"Top ten most common database queries","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/695","Analyzing wire data from databases","https://lantern.splunk.com/@go/page/633","Industry Neutral",,Active,,,,,
"Top ten slowest database queries","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/696","Analyzing wire data from databases","https://lantern.splunk.com/@go/page/633","Industry Neutral",,Active,,,,,
"Top ten slowest web pages on a web server","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/705","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"Topology of a VMware environment","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/2825","Monitoring VMware virtualization infrastructure","https://lantern.splunk.com/@go/page/628","Industry Neutral",,Active,,,,,
"Total bytes out from source IP addresses","Analytic Capability","Digital Resilience","Foundational Visibility","Network traffic","Security Monitoring",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/577","Monitoring for network traffic volume outliers","https://lantern.splunk.com/@go/page/532","Industry Neutral",,Active,,,,,
"Total call minutes by subscriber","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2375","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Tracking a retail banking transaction end-to-end","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2714",,,"Financial Services and Insurance",,Active,,,,,
"Tracking a retail banking transaction end-to-end","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2714",,,"Financial Services and Insurance",,Active,,,,,
"Tracking assets when recovering from an incident","Technical Capability","Digital Resilience","Unified Workflows",Inventory,"Automate Recovery Playbooks",,Security,,Inventory,,"https://lantern.splunk.com/@go/page/7422","Automate Recovery Playbooks","https://lantern.splunk.com/Security/UCE/Unified_Workflows/Automate_recovery_playbooks","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Transforming unified network and Telco observability with Fabrix.ai and Splunk",Capability,"Digital Resilience Journey","Foundational Visibility",,Industry,"Technology, Communications, and Media",Observability,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Transforming_unified_network_and_Telco_observability_with_Fabrix.ai_and_Splunk",,,,,,,,,,
"Trends in application errors over time","Analytic Capability","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/1259","Using stack traces to detect application errors","https://lantern.splunk.com/@go/page/1256","Industry Neutral",,Active,,,,,
"Trends in database query counts","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/697","Analyzing wire data from databases","https://lantern.splunk.com/@go/page/633","Industry Neutral",,Active,,,,,
"Trends in database query response times","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/698","Analyzing wire data from databases","https://lantern.splunk.com/@go/page/633","Industry Neutral",,Active,,,,,
"Trends in exceptions and stack traces","Analytic Capability","Digital Resilience","Foundational Visibility","Application server","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/1257","Using stack traces to detect application errors","https://lantern.splunk.com/@go/page/1256","Industry Neutral",,Active,,,,,
"Trends in web server response codes","Analytic Capability",Platform,,"Web server",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/706","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
