dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
SI_13-5_1_rmf,SI-13(5),Predictable Failure Prevention | Failover Capability,System and Informational Integrity,,,,fas fa-user-lock,SI-13(5).1,,The organization defines the real-time or near-real-time failover capability to be provided for the information system.,TRUE
SI_13-5_2_rmf,SI-13(5),Predictable Failure Prevention | Failover Capability,System and Informational Integrity,,,,fas fa-user-lock,SI-13(5).2,,The organization provides real-time or near-real-time organization-defined failover capability for the information system.,TRUE
SI_13_1_rmf,SI-13,Predictable Failure Prevention,System and Informational Integrity,,,,fas fa-user-lock,SI-13.1,,The organization determines mean time to failure (MTTF) for organization-defined information system components in specific environments of operation.,TRUE
SI_13_2_rmf,SI-13,Predictable Failure Prevention,System and Informational Integrity,,,,fas fa-user-lock,SI-13.2,,The organization defines the system components in specific environments of operation for which the mean time to failure (MTTF) is to be determined.,TRUE
SI_13_3_rmf,SI-13,Predictable Failure Prevention,System and Informational Integrity,,,,fas fa-user-lock,SI-13.3,,The organization provides substitute information system components.,TRUE
SI_13_4_rmf,SI-13,Predictable Failure Prevention,System and Informational Integrity,,,,fas fa-user-lock,SI-13.4,,The organization defines the mean time to failure (MTTF) substitution criteria to be employed as a means to determine the need to exchange active and standby components.,TRUE
SI_13_5_rmf,SI-13,Predictable Failure Prevention,System and Informational Integrity,,,,fas fa-user-lock,SI-13.5,,The organization provides a means to exchange active and standby components in accordance with the organization-defined mean time to failure (MTTF) substitution criteria.,TRUE
SI_14-1_1_rmf,SI-14(1),Non-persistence | Refresh from Trusted Sources,System and Informational Integrity,,,,fas fa-user-lock,SI-14(1).1,,The organization defines the trusted sources from which it obtains software and data employed during the refreshing of non-persistent information system components and services.,TRUE
SI_14-1_2_rmf,SI-14(1),Non-persistence | Refresh from Trusted Sources,System and Informational Integrity,,,,fas fa-user-lock,SI-14(1).2,,The organization ensures that software and data employed during non-persistent information system component and service refreshes are obtained from organization-defined trusted sources.,TRUE
SI_14_1_rmf,SI-14,Non-persistence,System and Informational Integrity,,,,fas fa-user-lock,SI-14.1,,The organization defines non-persistent information system components and services to be implemented.,TRUE
SI_14_2_rmf,SI-14,Non-persistence,System and Informational Integrity,,,,fas fa-user-lock,SI-14.2,,The organization defines the frequency at which it will terminate organization-defined non-persistent information system components and services.,TRUE
SI_14_3_rmf,SI-14,Non-persistence,System and Informational Integrity,,,,fas fa-user-lock,SI-14.3,,The organization implements organization-defined non-persistence information system components and services that are initiated in a known state.,TRUE
SI_14_4_rmf,SI-14,Non-persistence,System and Informational Integrity,,,,fas fa-user-lock,SI-14.4,,The organization implements organization-defined non-persistence information system components and services that are terminated upon end of session of use and/or periodically at an organization-defined frequency.,TRUE
SI_15_1_rmf,SI-15,Information Output Filtering,System and Informational Integrity,,,,fas fa-user-lock,SI-15.1,,The organization defines the software programs and/or applications from which the information system is to validate the information output to ensure the information is consistent with expected content.,TRUE
SI_15_2_rmf,SI-15,Information Output Filtering,System and Informational Integrity,,,,fas fa-user-lock,SI-15.2,,The information system validates information output from organization-defined software programs and/or applications to ensure that the information is consistent with the expected content.,TRUE
SI_16_1_rmf,SI-16,Memory Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-16.1,,The organization defines the security safeguards to be implemented to protect the information system^s memory from unauthorized code execution.,TRUE
SI_16_2_rmf,SI-16,Memory Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-16.2,,The information system implements organization-defined security safeguards to protect its memory from unauthorized code execution.,TRUE
SI_17_1_rmf,SI-17,Fail-safe Procedures,System and Informational Integrity,,,,fas fa-user-lock,SI-17.1,,The organization defines the fail-safe procedures to be implemented by the information system when organization-defined failure conditions occur.,TRUE
SI_17_2_rmf,SI-17,Fail-safe Procedures,System and Informational Integrity,,,,fas fa-user-lock,SI-17.2,,"The organization defines the failure conditions which, when they occur, will result in the information system implementing organization-defined fail-safe procedures.",TRUE
SI_17_3_rmf,SI-17,Fail-safe Procedures,System and Informational Integrity,,,,fas fa-user-lock,SI-17.3,,The information system implements organization-defined fail-safe procedures when organization-defined failure conditions occur.,TRUE
SI_2-1_1_rmf,SI-2(1),Flaw Remediation | Central Management,System and Informational Integrity,,,,fas fa-user-lock,SI-2(1).1,,The organization centrally manages the flaw remediation process.,TRUE
SI_2-2_1_rmf,SI-2(2),Flaw Remediation | Automated Flaw Remediation Status,System and Informational Integrity,,,,fas fa-user-lock,SI-2(2).1,,The organization employs automated mechanisms on an organization-defined frequency to determine the state of information system components with regard to flaw remediation.,TRUE
SI_2-2_2_rmf,SI-2(2),Flaw Remediation | Automated Flaw Remediation Status,System and Informational Integrity,,,,fas fa-user-lock,SI-2(2).2,,The organization defines a frequency for employing automated mechanisms to determine the state of information system components with regard to flaw remediation.,TRUE
SI_2-3_1_rmf,SI-2(3),Flaw Remediation | Time to Remediate Flaws and Benchmarks for Corrective Actions,System and Informational Integrity,,,,fas fa-user-lock,SI-2(3).1,,The organization measures the time between flaw identification and flaw remediation.,TRUE
SI_2-3_2_rmf,SI-2(3),Flaw Remediation | Time to Remediate Flaws and Benchmarks for Corrective Actions,System and Informational Integrity,,,,fas fa-user-lock,SI-2(3).2,,The organization defines benchmarks for the time taken to apply corrective actions after flaw identification.,TRUE
SI_2-3_3_rmf,SI-2(3),Flaw Remediation | Time to Remediate Flaws and Benchmarks for Corrective Actions,System and Informational Integrity,,,,fas fa-user-lock,SI-2(3).3,,The organization establishes organization-defined benchmarks for the time taken to apply corrective actions after flaw identification.,TRUE
SI_2-5_1_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).1,,The organization defines the information system components on which organization-defined security-relevant software updates will be automatically installed.,TRUE
SI_2-5_2_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).2,,The organization defines the information system components on which organization-defined security-relevant firmware updates will be automatically installed.,TRUE
SI_2-5_3_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).3,,The organization defines the security-relevant software updates to be automatically installed on organization-defined information system components.,TRUE
SI_2-5_4_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).4,,The organization defines the security-relevant firmware updates to be automatically installed on organization-defined information system components.,TRUE
SI_2-5_5_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).5,,The organization installs organization-defined security-relevant software updates automatically to organization-defined information system components.,TRUE
SI_2-5_6_rmf,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-2(5).6,,The organization installs organization-defined security-relevant firmware updates automatically to organization-defined information system components.,TRUE
SI_2-6_1_rmf,SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,System and Informational Integrity,,,,fas fa-user-lock,SI-2(6).1,,"The organization defines the software components to be removed (e.g., previous versions) after updated versions have been installed.",TRUE
SI_2-6_2_rmf,SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,System and Informational Integrity,,,,fas fa-user-lock,SI-2(6).2,,"The organization defines the firmware components to be removed (e.g., previous versions) after updated versions have been installed.",TRUE
SI_2-6_3_rmf,SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,System and Informational Integrity,,,,fas fa-user-lock,SI-2(6).3,,"The organization removes organization-defined software components (e.g., previous versions) after updated versions have been installed.",TRUE
SI_2-6_4_rmf,SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,System and Informational Integrity,,,,fas fa-user-lock,SI-2(6).4,,"The organization removes organization-defined firmware components (e.g., previous versions) after updated versions have been installed.",TRUE
SI_2_1_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.1,,The organization identifies information system flaws.,TRUE
SI_2_10_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.10,,The organization defines the time period following the release of updates within which security-related firmware updates are to be installed.,TRUE
SI_2_11_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.11,,The organization installs security-relevant firmware updates within an organization-defined time period of the release of the updates.,TRUE
SI_2_12_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.12,,The organization incorporates flaw remediation into the organizational configuration management process.,TRUE
SI_2_2_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.2,,The organization reports information system flaws.,TRUE
SI_2_3_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.3,,The organization corrects information system flaws.,TRUE
SI_2_4_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.4,,The organization tests software updates related to flaw remediation for effectiveness before installation.,TRUE
SI_2_5_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.5,,The organization tests software updates related to flaw remediation for potential side effects before installation.,TRUE
SI_2_6_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.6,,The organization tests firmware updates related to flaw remediation for effectiveness before installation.,TRUE
SI_2_7_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.7,,The organization tests firmware updates related to flaw remediation for potential side effects before installation.,TRUE
SI_2_8_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.8,,The organization defines the time period following the release of updates within which security-related software updates are to be installed.,TRUE
SI_2_9_rmf,SI-2,Flaw Remediation,System and Informational Integrity,,,,fas fa-user-lock,SI-2.9,,The organization installs security-relevant software updates within an organization-defined time period of the release of the updates.,TRUE
SI_3-1_1_rmf,SI-3(1),Malicious Code Protection | Central Management,System and Informational Integrity,,,,fas fa-user-lock,SI-3(1).1,,The organization centrally manages malicious code protection mechanisms.,TRUE
SI_3-10_1_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).1,,The organization defines the tools to be employed to analyze the characteristics and behavior of malicious code.,TRUE
SI_3-10_2_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).2,,The organization defines the techniques to be employed to analyze the characteristics and behavior of malicious code.,TRUE
SI_3-10_3_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).3,,The organization employs organization-defined tools to analyze the characteristics and behavior of malicious code.,TRUE
SI_3-10_4_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).4,,The organization employs organization-defined techniques to analyze the characteristics and behavior of malicious code.,TRUE
SI_3-10_5_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).5,,The organization incorporates the results from malicious code analysis into organizational incident response processes.,TRUE
SI_3-10_6_rmf,SI-3(10),Malicious Code Protection | Malicious Code Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-3(10).6,,The organization incorporates the results from malicious code analysis into organizational flaw remediation processes.,TRUE
SI_3-2_1_rmf,SI-3(2),Malicious Code Protection | Automatic Updates,System and Informational Integrity,,,,fas fa-user-lock,SI-3(2).1,,The information system automatically updates malicious code protection mechanisms.,TRUE
SI_3-4_1_rmf,SI-3(4),Malicious Code Protection | Updates Only by Privileged Users,System and Informational Integrity,,,,fas fa-user-lock,SI-3(4).1,,The information system updates malicious code protection mechanisms only when directed by a privileged user.,TRUE
SI_3-6_1_rmf,SI-3(6),Malicious Code Protection | Testing and Verification,System and Informational Integrity,,,,fas fa-user-lock,SI-3(6).1,,"The organization tests malicious code protection mechanisms on an organization-defined frequency by introducing a known benign, non-spreading test case into the information system.",TRUE
SI_3-6_2_rmf,SI-3(6),Malicious Code Protection | Testing and Verification,System and Informational Integrity,,,,fas fa-user-lock,SI-3(6).2,,The organization defines the frequency of testing malicious code protection mechanisms.,TRUE
SI_3-6_3_rmf,SI-3(6),Malicious Code Protection | Testing and Verification,System and Informational Integrity,,,,fas fa-user-lock,SI-3(6).3,,"The organization, when testing malicious code protection mechanisms, verifies the detection of the test case occurs.",TRUE
SI_3-6_4_rmf,SI-3(6),Malicious Code Protection | Testing and Verification,System and Informational Integrity,,,,fas fa-user-lock,SI-3(6).4,,"The organization, when testing malicious code protection mechanisms, verifies the incident reporting of the test case occurs.",TRUE
SI_3-7_1_rmf,SI-3(7),Malicious Code Protection | Nonsignature-based Detection,System and Informational Integrity,,,,fas fa-user-lock,SI-3(7).1,,The information system implements nonsignature-based malicious code detection mechanisms.,TRUE
SI_3-8_1_rmf,SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(8).1,,The organization defines the unauthorized operating system commands that are to be detected through the kernel application programming interface by organization-defined information system hardware components.,TRUE
SI_3-8_2_rmf,SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(8).2,,The organization defines the information system hardware components that are to detect organization-defined unauthorized operating system commands through the kernel programming application interface.,TRUE
SI_3-8_3_rmf,SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(8).3,,The information system detects organization-defined unauthorized operating system commands through the kernel application programming interface at organization-defined information system hardware components.,TRUE
SI_3-8_4_rmf,SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(8).4,,"The information system issues a warning, audits the command execution, or prevents the execution of the command when organization-defined unauthorized operating system commands are detected.",TRUE
SI_3-9_1_rmf,SI-3(9),Malicious Code Protection | Authenticate Remote Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(9).1,,The organization defines the remote commands that are to be authenticated using organization-defined safeguards for malicious code protection.,TRUE
SI_3-9_2_rmf,SI-3(9),Malicious Code Protection | Authenticate Remote Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(9).2,,The organization defines the security safeguards to be implemented to authenticate organization-defined remote commands for malicious code protection.,TRUE
SI_3-9_3_rmf,SI-3(9),Malicious Code Protection | Authenticate Remote Commands,System and Informational Integrity,,,,fas fa-user-lock,SI-3(9).3,,The information system implements organization-defined security safeguards to authenticate organization-defined remote commands for malicious code protection.,TRUE
SI_3_1_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.1,,The organization employs malicious code protection mechanisms at information system entry points to detect malicious code.,TRUE
SI_3_10_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.10,,The organization configures malicious code protection mechanisms to perform organization-defined action(s) in response to malicious code detection.,TRUE
SI_3_11_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.11,,"The organization defines one or more actions to perform in response to malicious code detection, such as blocking malicious code, quarantining malicious code, or sending alerts to administrators.",TRUE
SI_3_12_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.12,,"The organization addresses the receipt of false positives during malicious code detection and eradication, and the resulting potential impact on the availability of the information system.",TRUE
SI_3_2_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.2,,The organization employs malicious code protection mechanisms at information system exit points to detect malicious code.,TRUE
SI_3_3_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.3,,The organization employs malicious code protection mechanisms at information system entry points to eradicate malicious code.,TRUE
SI_3_4_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.4,,The organization employs malicious code protection mechanisms at information system exit points to eradicate malicious code.,TRUE
SI_3_5_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.5,,The organization updates malicious code protection mechanisms whenever new releases are available in accordance with organizational configuration management policy and procedures.,TRUE
SI_3_6_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.6,,The organization defines the frequency for performing periodic scans of the information system for malicious code.,TRUE
SI_3_7_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.7,,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at network entry/exit points as the files are downloaded, opened, or executed in accordance with organizational security policy.",TRUE
SI_3_8_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.8,,The organization configures malicious code protection mechanisms to perform periodic scans of the information system on an organization-defined frequency.,TRUE
SI_3_9_rmf,SI-3,Malicious Code Protection,System and Informational Integrity,,,,fas fa-user-lock,SI-3.9,,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at endpoints as the files are downloaded, opened, or executed in accordance with organizational security policy.",TRUE
SI_4-1_1_rmf,SI-4(1),System Monitoring | System-wide Intrusion Detection System,System and Informational Integrity,,,,fas fa-user-lock,SI-4(1).1,,The organization connects individual intrusion detection tools into an information system-wide intrusion detection system.,TRUE
SI_4-1_2_rmf,SI-4(1),System Monitoring | System-wide Intrusion Detection System,System and Informational Integrity,,,,fas fa-user-lock,SI-4(1).2,,The organization configures individual intrusion detection tools into an information system-wide intrusion detection system.,TRUE
SI_4-10_1_rmf,SI-4(10),System Monitoring | Visibility of Encrypted Communications,System and Informational Integrity,,,,fas fa-user-lock,SI-4(10).1,,The organization defines the encrypted communications traffic that is to be visible to organization-defined information system monitoring tools.,TRUE
SI_4-10_2_rmf,SI-4(10),System Monitoring | Visibility of Encrypted Communications,System and Informational Integrity,,,,fas fa-user-lock,SI-4(10).2,,The organization defines the information system monitoring tools that will have visibility into organization-defined encrypted communications traffic.,TRUE
SI_4-10_3_rmf,SI-4(10),System Monitoring | Visibility of Encrypted Communications,System and Informational Integrity,,,,fas fa-user-lock,SI-4(10).3,,The organization makes provisions so that organization-defined encrypted communications traffic is visible to organization-defined information system monitoring tools.,TRUE
SI_4-11_1_rmf,SI-4(11),System Monitoring | Analyze Communications Traffic Anomalies,System and Informational Integrity,,,,fas fa-user-lock,SI-4(11).1,,The organization analyzes outbound communications traffic at the external boundary of the information system to discover anomalies.,TRUE
SI_4-11_2_rmf,SI-4(11),System Monitoring | Analyze Communications Traffic Anomalies,System and Informational Integrity,,,,fas fa-user-lock,SI-4(11).2,,"The organization analyzes outbound communications traffic at selected organization-defined interior points within the system (e.g., subnetworks, subsystems) to discover anomalies.",TRUE
SI_4-11_3_rmf,SI-4(11),System Monitoring | Analyze Communications Traffic Anomalies,System and Informational Integrity,,,,fas fa-user-lock,SI-4(11).3,,"The organization defines the interior points within the information system (e.g., subnetworks, subsystems) where outbound communications will be analyzed to discover anomalies.",TRUE
SI_4-12_1_rmf,SI-4(12),System Monitoring | Automated Organization-generated Alerts,System and Informational Integrity,,,,fas fa-user-lock,SI-4(12).1,,The organization employs automated mechanisms to alert security personnel of organization-defined inappropriate or unusual activities with security implications.,TRUE
SI_4-12_2_rmf,SI-4(12),System Monitoring | Automated Organization-generated Alerts,System and Informational Integrity,,,,fas fa-user-lock,SI-4(12).2,,The organization defines the activities which will trigger alerts to security personnel of inappropriate or unusual activities.,TRUE
SI_4-13_1_rmf,SI-4(13),System Monitoring | Analyze Traffic and Event Patterns,System and Informational Integrity,,,,fas fa-user-lock,SI-4(13).1,,The organization analyzes communications traffic/event patterns for the information system.,TRUE
SI_4-13_2_rmf,SI-4(13),System Monitoring | Analyze Traffic and Event Patterns,System and Informational Integrity,,,,fas fa-user-lock,SI-4(13).2,,The organization develops profiles representing common traffic patterns and/or events.,TRUE
SI_4-13_3_rmf,SI-4(13),System Monitoring | Analyze Traffic and Event Patterns,System and Informational Integrity,,,,fas fa-user-lock,SI-4(13).3,,The organization uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives and false negatives.,TRUE
SI_4-14_1_rmf,SI-4(14),System Monitoring | Wireless Intrusion Detection,System and Informational Integrity,,,,fas fa-user-lock,SI-4(14).1,,The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system.,TRUE
SI_4-15_1_rmf,SI-4(15),System Monitoring | Wireless to Wireline Communications,System and Informational Integrity,,,,fas fa-user-lock,SI-4(15).1,,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks.,TRUE
SI_4-16_1_rmf,SI-4(16),System Monitoring | Correlate Monitoring Information,System and Informational Integrity,,,,fas fa-user-lock,SI-4(16).1,,The organization correlates information from monitoring tools employed throughout the information system.,TRUE
SI_4-17_1_rmf,SI-4(17),System Monitoring | Integrated Situational Awareness,System and Informational Integrity,,,,fas fa-user-lock,SI-4(17).1,,"The organization correlates information from monitoring physical, cyber, and supply chain activities to achieve integrated, organization-wide situational awareness.",TRUE
SI_4-18_1_rmf,SI-4(18),System Monitoring | Analyze Traffic and Covert Exfiltration,System and Informational Integrity,,,,fas fa-user-lock,SI-4(18).1,,"The organization defines the interior points within the system (e.g., subsystems, subnetworks) where outbound communications will be analyzed to detect covert exfiltration of information.",TRUE
SI_4-18_2_rmf,SI-4(18),System Monitoring | Analyze Traffic and Covert Exfiltration,System and Informational Integrity,,,,fas fa-user-lock,SI-4(18).2,,"The organization analyzes outbound communications traffic at the external boundary of the information system (i.e., system perimeter) to detect covert exfiltration of information.",TRUE
SI_4-18_3_rmf,SI-4(18),System Monitoring | Analyze Traffic and Covert Exfiltration,System and Informational Integrity,,,,fas fa-user-lock,SI-4(18).3,,"The organization analyzes outbound communications traffic at organization-defined interior points within the system (e.g., subsystems, subnetworks) to detect covert exfiltration of information.",TRUE
SI_4-19_1_rmf,SI-4(19),System Monitoring | Risk for Individuals,System and Informational Integrity,,,,fas fa-user-lock,SI-4(19).1,,The organization defines the additional monitoring to be implemented for individuals identified as posing an increased level of risk.,TRUE
SI_4-19_2_rmf,SI-4(19),System Monitoring | Risk for Individuals,System and Informational Integrity,,,,fas fa-user-lock,SI-4(19).2,,The organization defines the sources that may be used to identify individuals who pose an increased level of risk.,TRUE
SI_4-19_3_rmf,SI-4(19),System Monitoring | Risk for Individuals,System and Informational Integrity,,,,fas fa-user-lock,SI-4(19).3,,The organization implements organization-defined additional monitoring of individuals who have been identified by organization-defined sources as posing an increased level of risk.,TRUE
SI_4-2_1_rmf,SI-4(2),System Monitoring | Automated Tools and Mechanisms for Real-time Analysis,System and Informational Integrity,,,,fas fa-user-lock,SI-4(2).1,,The organization employs automated tools to support near real-time analysis of events.,TRUE
SI_4-20_1_rmf,SI-4(20),System Monitoring | Privileged Users,System and Informational Integrity,,,,fas fa-user-lock,SI-4(20).1,,The organization defines additional monitoring to be implemented for privileged users.,TRUE
SI_4-20_2_rmf,SI-4(20),System Monitoring | Privileged Users,System and Informational Integrity,,,,fas fa-user-lock,SI-4(20).2,,The organization implements organization-defined additional monitoring of privileged users.,TRUE
SI_4-21_1_rmf,SI-4(21),System Monitoring | Probationary Periods,System and Informational Integrity,,,,fas fa-user-lock,SI-4(21).1,,The organization defines additional monitoring to be implemented for individuals during an organization-defined probationary period.,TRUE
SI_4-21_2_rmf,SI-4(21),System Monitoring | Probationary Periods,System and Informational Integrity,,,,fas fa-user-lock,SI-4(21).2,,The organization defines the probationary period during which additional monitoring will be implemented for individuals.,TRUE
SI_4-21_3_rmf,SI-4(21),System Monitoring | Probationary Periods,System and Informational Integrity,,,,fas fa-user-lock,SI-4(21).3,,The organization implements organization-defined additional monitoring of individuals during an organization-defined probationary period.,TRUE
SI_4-22_1_rmf,SI-4(22),System Monitoring | Unauthorized Network Services,System and Informational Integrity,,,,fas fa-user-lock,SI-4(22).1,,The organization defines the authorization or approval process for network services.,TRUE
SI_4-22_2_rmf,SI-4(22),System Monitoring | Unauthorized Network Services,System and Informational Integrity,,,,fas fa-user-lock,SI-4(22).2,,The organization defines the personnel or roles to be alerted when unauthorized or unapproved network services are detected.,TRUE
SI_4-22_3_rmf,SI-4(22),System Monitoring | Unauthorized Network Services,System and Informational Integrity,,,,fas fa-user-lock,SI-4(22).3,,The information system detects network services that have not been authorized or approved by the organization-defined authorization or approval processes.,TRUE
SI_4-22_4_rmf,SI-4(22),System Monitoring | Unauthorized Network Services,System and Informational Integrity,,,,fas fa-user-lock,SI-4(22).4,,The information system audits and/or alerts organization-defined personnel when unauthorized network services are detected.,TRUE
SI_4-23_1_rmf,SI-4(23),System Monitoring | Host-based Devices,System and Informational Integrity,,,,fas fa-user-lock,SI-4(23).1,,The organization defines the host-based monitoring mechanisms to be implemented at organization-defined information system components.,TRUE
SI_4-23_2_rmf,SI-4(23),System Monitoring | Host-based Devices,System and Informational Integrity,,,,fas fa-user-lock,SI-4(23).2,,The organization defines the information system components at which organization-defined host-based monitoring mechanisms are to be implemented.,TRUE
SI_4-23_3_rmf,SI-4(23),System Monitoring | Host-based Devices,System and Informational Integrity,,,,fas fa-user-lock,SI-4(23).3,,The organization implements organization-defined host-based monitoring mechanisms at organization-defined information system components.,TRUE
SI_4-24_1_rmf,SI-4(24),System Monitoring | Indicators of Compromise,System and Informational Integrity,,,,fas fa-user-lock,SI-4(24).1,,The information system discovers indicators of compromise.,TRUE
SI_4-24_2_rmf,SI-4(24),System Monitoring | Indicators of Compromise,System and Informational Integrity,,,,fas fa-user-lock,SI-4(24).2,,The information system collects indicators of compromise.,TRUE
SI_4-24_3_rmf,SI-4(24),System Monitoring | Indicators of Compromise,System and Informational Integrity,,,,fas fa-user-lock,SI-4(24).3,,The information system distributes indicators of compromise.,TRUE
SI_4-24_4_rmf,SI-4(24),System Monitoring | Indicators of Compromise,System and Informational Integrity,,,,fas fa-user-lock,SI-4(24).4,,The information system uses indicators of compromise.,TRUE
SI_4-3_1_rmf,SI-4(3),System Monitoring | Automated Tool and Mechanism Integration,System and Informational Integrity,,,,fas fa-user-lock,SI-4(3).1,,The organization employs automated tools to integrate intrusion detection tools into access control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,TRUE
SI_4-3_2_rmf,SI-4(3),System Monitoring | Automated Tool and Mechanism Integration,System and Informational Integrity,,,,fas fa-user-lock,SI-4(3).2,,The organization employs automated tools to integrate intrusion detection tools into flow control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,TRUE
SI_4-4_1_rmf,SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,System and Informational Integrity,,,,fas fa-user-lock,SI-4(4).1,,The organization defines the frequency on which it will monitor inbound communications for unusual or unauthorized activities or conditions.,TRUE
SI_4-4_2_rmf,SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,System and Informational Integrity,,,,fas fa-user-lock,SI-4(4).2,,The organization defines the frequency on which it will monitor outbound communications for unusual or unauthorized activities or conditions.,TRUE
SI_4-4_3_rmf,SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,System and Informational Integrity,,,,fas fa-user-lock,SI-4(4).3,,The information system monitors inbound communications traffic per organization-defined frequency for unusual or unauthorized activities or conditions.,TRUE
SI_4-4_4_rmf,SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,System and Informational Integrity,,,,fas fa-user-lock,SI-4(4).4,,The information system monitors outbound communications traffic per organization-defined frequency for unusual or unauthorized activities or conditions.,TRUE
SI_4-5_1_rmf,SI-4(5),System Monitoring | System-generated Alerts,System and Informational Integrity,,,,fas fa-user-lock,SI-4(5).1,,The organization defines indicators of compromise or potential compromise to the security of the information system which will result in information system alerts being provided to organization-defined personnel or roles.,TRUE
