assessment_objective,assessment_objective_id,assessment_objective_letter,control,control_ace,control_ccm,control_cmmc_level,control_dod_weight,control_evidence_found,control_family,control_group,control_operator,control_owner,control_prereq_met,control_review_due,control_review_message,control_review_overdue,control_review_status,control_review_time,control_status,control_supercedes_until,control_update_message,control_update_time,cui_system_id,cui_system_name,cui_system_splunk_id,status_type
malicious code scans are performed with the defined frequency.,3.14.5[b],b,SI.L1-3.14.5,TRUE,TRUE,1,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
real-time malicious code scans of files from external sources as files are downloaded,3.14.5[c],c,SI.L1-3.14.5,TRUE,TRUE,1,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system is monitored to detect attacks and indicators of potential attacks.,3.14.6[a],a,SI.L2-3.14.6,TRUE,TRUE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
inbound communications traffic is monitored to detect attacks and indicators of potential attacks.,3.14.6[b],b,SI.L2-3.14.6,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
outbound communications traffic is monitored to detect attacks and indicators of potential attacks.,3.14.6[c],c,SI.L2-3.14.6,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
authorized use of the system is defined.,3.14.7[a],a,SI.L2-3.14.7,FALSE,FALSE,2,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
unauthorized use of the system is identified.,3.14.7[b],b,SI.L2-3.14.7,FALSE,FALSE,2,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
,,,AC.L1-3.1.1,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L1-3.1.2,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L1-3.1.20,TRUE,TRUE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.9,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.21,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.5,TRUE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.6,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.8,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.10,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.16,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.12,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.14,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.3,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.13,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.17,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.15,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.4,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.7,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.11,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.18,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AC.L2-3.1.19,TRUE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.2,TRUE,FALSE,2,3,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.1,TRUE,TRUE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.7,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.3,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.4,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.8,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.9,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.5,TRUE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AU.L2-3.3.6,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AT.L2-3.2.1,TRUE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AT.L2-3.2.2,TRUE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,AT.L2-3.2.3,TRUE,TRUE,2,1,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.1,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.6,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.9,TRUE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.2,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.3,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.4,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.7,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CM.L2-3.4.8,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L1-3.5.1,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L1-3.5.2,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.7,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.8,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.9,TRUE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.10,TRUE,FALSE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.11,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.3,TRUE,TRUE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.4,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.5,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IA.L2-3.5.6,TRUE,TRUE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,IR.L2-3.6.3,FALSE,FALSE,2,1,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.1,TRUE,FALSE,2,3,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.2,FALSE,FALSE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.5,TRUE,TRUE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.6,FALSE,FALSE,2,1,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.3,FALSE,FALSE,2,1,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MA.L2-3.7.4,FALSE,FALSE,2,3,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L1-3.8.3,FALSE,FALSE,1,5,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.1,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.2,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.7,TRUE,FALSE,2,5,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.4,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.8,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.5,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.6,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,MP.L2-3.8.9,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PS.L2-3.9.1,FALSE,FALSE,2,3,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PS.L2-3.9.2,FALSE,FALSE,2,5,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L1-3.10.1,FALSE,FALSE,1,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L1-3.10.3,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L1-3.10.4,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L1-3.10.5,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L2-3.10.2,FALSE,FALSE,2,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,PE.L2-3.10.6,FALSE,FALSE,2,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,RA.L2-3.11.1,FALSE,FALSE,2,3,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,RA.L2-3.11.2,TRUE,TRUE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,RA.L2-3.11.3,FALSE,FALSE,2,1,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CA.L2-3.12.1,FALSE,FALSE,2,5,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CA.L2-3.12.2,FALSE,FALSE,2,3,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,CA.L2-3.12.3,FALSE,FALSE,2,5,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L1-3.13.1,TRUE,TRUE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L1-3.13.5,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.12,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.11,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.3,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.4,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.6,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.7,TRUE,TRUE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.8,FALSE,FALSE,2,3,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.9,TRUE,TRUE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.10,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.13,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.14,TRUE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.15,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SC.L2-3.13.16,TRUE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L1-3.14.2,TRUE,TRUE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L1-3.14.4,TRUE,TRUE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L1-3.14.5,TRUE,TRUE,1,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L2-3.14.3,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L2-3.14.6,TRUE,TRUE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,control
,,,SI.L2-3.14.7,FALSE,FALSE,2,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,control
