source,                                       belong,                   eventClassification
"GhostDvsProxySwitchDetectedEvent",           "NetworkEvents",          "NetworkEvents;VCEvents;HostEvents;Events"
"HostConnectedEvent",                         "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"HostConnectionLostEvent",                    "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"HostDisconnectedEvent",                      "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"HostExtraNetworksEvent",                     "NetworkEvents",          "NetworkEvents;HostEvents;StorageEvents;HA/DRSEvents;Events"
"HostIpChangedEvent",                         "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"HostVnicConnectedToCustomizedDVPortEvent",   "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"HostWwnChangedEvent",                        "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"MtuMatchEvent",                              "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"MtuMismatchEvent",                           "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"NetworkRollbackEvent",                       "NetworkEvents",          "NetworkEvents;MaintenanceEvents;VCEvents;HostEvents;Events"
"RecoveryEvent",                              "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"RollbackEvent",                              "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"TeamingMatchEvent",                          "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"TeamingMisMatchEvent",                       "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"UplinkPortVlanTrunkedEvent",                 "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"UplinkPortVlanUntrunkedEvent",               "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"VmConnectedEvent",                           "NetworkEvents",          "NetworkEvents;VMEvents;Events"
