Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Diesel (100% mineral diesel) kWh (Gross CV),0.00004
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Diesel (100% mineral diesel) kWh (Gross CV),0.24942
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Diesel (100% mineral diesel) kWh (Gross CV),0.00350
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (100% mineral diesel) kWh (Net CV),0.26910
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Diesel (100% mineral diesel) kWh (Net CV),0.00004
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Diesel (100% mineral diesel) kWh (Net CV),0.26534
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Diesel (100% mineral diesel) kWh (Net CV),0.00372
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CO2e,Diesel (100% mineral diesel) litres,2.68779
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CH4,Diesel (100% mineral diesel) litres,0.00042
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CO2,Diesel (100% mineral diesel) litres,2.65020
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg N2O,Diesel (100% mineral diesel) litres,0.03717
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CO2e,Diesel (100% mineral diesel) tonnes,3209.22000
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CH4,Diesel (100% mineral diesel) tonnes,0.50000
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CO2,Diesel (100% mineral diesel) tonnes,3164.33000
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg N2O,Diesel (100% mineral diesel) tonnes,44.38000
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Fuel oil kWh (Gross CV),0.26831
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Fuel oil kWh (Gross CV),0.00034
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Fuel oil kWh (Gross CV),0.26733
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Fuel oil kWh (Gross CV),0.00064
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Fuel oil kWh (Net CV),0.28544
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Fuel oil kWh (Net CV),0.00036
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Fuel oil kWh (Net CV),0.28439
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Fuel oil kWh (Net CV),0.00068
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CO2e,Fuel oil litres,3.17799
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CH4,Fuel oil litres,0.00404
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CO2,Fuel oil litres,3.16633
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg N2O,Fuel oil litres,0.00763
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CO2e,Fuel oil tonnes,3228.84000
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CH4,Fuel oil tonnes,4.10000
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CO2,Fuel oil tonnes,3216.99000
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg N2O,Fuel oil tonnes,7.75000
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Gas oil kWh (Gross CV),0.27652
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Gas oil kWh (Gross CV),0.00028
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Gas oil kWh (Gross CV),0.25359
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Gas oil kWh (Gross CV),0.02265
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Gas oil kWh (Net CV),0.29417
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Gas oil kWh (Net CV),0.00029
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Gas oil kWh (Net CV),0.26978
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Gas oil kWh (Net CV),0.02410
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CO2e,Gas oil litres,2.97049
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CH4,Gas oil litres,0.00298
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CO2,Gas oil litres,2.72417
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg N2O,Gas oil litres,0.24335
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg CO2e,Gas oil tonnes,3478.44000
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg CH4,Gas oil tonnes,3.48000
