Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh (Net CV),kg N2O,0.00067
Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,kg CO2e,
Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,kg CH4,
Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,kg CO2,
Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,kg N2O,
Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,kg CO2e,"3,181.92277"
Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,kg CH4,3.20261
Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,kg CO2,"3,171.08516"
Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,kg N2O,7.63501
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.23709
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.23622
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00061
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh (Net CV),kg CO2e,0.24957
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh (Net CV),kg CH4,0.00027
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh (Net CV),kg CO2,0.24865
Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh (Net CV),kg N2O,0.00064
Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,kg CO2e,
Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,kg CH4,
Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,kg CO2,
Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,kg N2O,
Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,kg CO2e,"3,142.81587"
Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,kg CH4,3.39318
Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,kg CO2,"3,131.33333"
Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,kg N2O,8.08935
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.23324
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00072
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CO2,0.23211
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00041
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CO2e,0.24552
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CH4,0.00076
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CO2,0.24433
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg N2O,0.00043
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,kg CO2e,2.19697
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,kg CH4,0.00689
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,kg CO2,2.18614
