source,metric_name,type,description
DSNDQDST,QDSTHWAT             ,DBAT,Maximum Number of Active and Disconnected (POOLED) DBATs that existed(High Water Mark)
DSNDQDST,QDSTHWDT             ,OTHR,Maximum Number of REMOTE Connections that existed (High Water Mark)
DSNDQDST,QDSTNITC             ,OTHR,Number of Threads/Connections that were terminated rather than made TYPE 1 Inactive because the Maximum Number of TYPE 1 Inactive Threads was reached (MAXTYPE1)
DSNDQDST,QDSTCIN2             ,OTHR,Current Number of (TYPE 2) Inactive Connections
DSNDQDST,QDSTMIN2             ,OTHR,Maximum Number of Concurrent (TYPE 2) Inactive Connections that have existed
DSNDQDST,QDSTQIN2             ,OTHR,Number of RECEIVE requests ON (TYPE 2) Inactive Connections or new Connections that have been queued to be serviced by a Disconnected (Pooled) DBAT. also SEE QDSTNQR2
DSNDQDST,QDSTNQR2             ,OTHR,Current Number of (TYPE 2) Inactive Connections or new Connections that are queued waiting to be serviced by a DBAT. also see QDSTNQMN QDSTNQMX and QDSTNQAV
DSNDQDST,QDSTMQR2             ,OTHR,QDSTNQR2 High Water Mark. Maximum Number of (TYPE 2) Inactive Connections or new Connections that were queued waiting to be serviced by a DBAT
DSNDQDST,QDSTNADS             ,DBAT,Current Number of Disconnected (Pooled) DBATS that are available to service work on (TYPE 2) Inactive Connections or new Connections	
DSNDQDST,QDSTMADS             ,DBAT,QDSTNADS High Water Mark. Maximum Number of Disconnected(Pooled) DBATS that were available to service work on (TYPE 2) Inactive Connections or new Connections
DSNDQDST,QDSTNDBA             ,DBAT,Number of requests that required a Data Base Access Thread(DBAT) to be created to process the request. Note that this does not include Data Base Access Threads created to replace Disconnected (Pool) DBATS that terminated because they reached their REUSE limit
DSNDQDST,QDSTPOOL             ,DBAT,Number of requests that were satisfied by assigning a Disconnected (POOL) DBAT to process the request
DSNDQDST,QDSTNCQC             ,OTHR,Number of queued client Connections which have had their TCP/IP sockets closed because MAXDBAT was reached and the Number of Inactive Connections queued(waiting for a DBAT) has reached FACMCONQN in value. The socket close will only be attempted in a member of a data sharing group
DSNDQDST,QDSTNARD             ,DBAT,Current Number of Active DBATS due to Packages bound with RELEASE(DEALLOCATE)
DSNDQDST,QDSTMARD             ,DBAT,Maximum Number of Active DBATS due to Packages bound with RELEASE(DEALLOCATE)
DSNDQDST,QDSTNQMN             ,OTHR,Relative to QDSTNQR2 - the minimum queued duration for this statistics period.**Note: Only statistics records written due to an expired statistics timer will cause the value to be reset. Statistics records written for IFI READS checkpoints or commands will not result in a value reset. STCK format
