_time,Committed,Available,host,tmp_epochtime,index
,,,EC2AMAZ-3G1B1SF,1625161020,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161050,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161080,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161110,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161140,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161170,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161200,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161230,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161260,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161290,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161320,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161350,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161380,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161410,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161440,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161470,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161500,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161530,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161560,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161590,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161620,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161650,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161680,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161710,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161740,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161770,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161800,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161830,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161860,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161890,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161920,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161950,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625161980,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625162010,itsi_im_metrics
