tld,wildcard_tld
paroch.k12.ma.us,*.paroch.k12.ma.us
pvt.k12.ma.us,*.pvt.k12.ma.us
*.dev.adobeaemcloud.com,*.dev.adobeaemcloud.com
execute-api.af-south-1.amazonaws.com,*.execute-api.af-south-1.amazonaws.com
execute-api.ap-east-1.amazonaws.com,*.execute-api.ap-east-1.amazonaws.com
execute-api.ap-northeast-1.amazonaws.com,*.execute-api.ap-northeast-1.amazonaws.com
execute-api.ap-northeast-2.amazonaws.com,*.execute-api.ap-northeast-2.amazonaws.com
execute-api.ap-northeast-3.amazonaws.com,*.execute-api.ap-northeast-3.amazonaws.com
execute-api.ap-south-1.amazonaws.com,*.execute-api.ap-south-1.amazonaws.com
execute-api.ap-south-2.amazonaws.com,*.execute-api.ap-south-2.amazonaws.com
execute-api.ap-southeast-1.amazonaws.com,*.execute-api.ap-southeast-1.amazonaws.com
execute-api.ap-southeast-2.amazonaws.com,*.execute-api.ap-southeast-2.amazonaws.com
execute-api.ap-southeast-3.amazonaws.com,*.execute-api.ap-southeast-3.amazonaws.com
execute-api.ap-southeast-4.amazonaws.com,*.execute-api.ap-southeast-4.amazonaws.com
execute-api.ap-southeast-5.amazonaws.com,*.execute-api.ap-southeast-5.amazonaws.com
execute-api.ca-central-1.amazonaws.com,*.execute-api.ca-central-1.amazonaws.com
execute-api.ca-west-1.amazonaws.com,*.execute-api.ca-west-1.amazonaws.com
execute-api.eu-central-1.amazonaws.com,*.execute-api.eu-central-1.amazonaws.com
execute-api.eu-central-2.amazonaws.com,*.execute-api.eu-central-2.amazonaws.com
execute-api.eu-north-1.amazonaws.com,*.execute-api.eu-north-1.amazonaws.com
execute-api.eu-south-1.amazonaws.com,*.execute-api.eu-south-1.amazonaws.com
execute-api.eu-south-2.amazonaws.com,*.execute-api.eu-south-2.amazonaws.com
execute-api.eu-west-1.amazonaws.com,*.execute-api.eu-west-1.amazonaws.com
execute-api.eu-west-2.amazonaws.com,*.execute-api.eu-west-2.amazonaws.com
execute-api.eu-west-3.amazonaws.com,*.execute-api.eu-west-3.amazonaws.com
