Technique_ID,Technique_Name,Tactics,Platform,Permissions_Required,Effective_Permissions,Data_Sources,CAPEC_ID,Contributors,Requires_Network,Version,Description,Mitigations
T1017,Application Deployment Software,Lateral Movement,"Linux, macOS, Windows",,,"File monitoring, Process use of network, Process monitoring",CAPEC-187,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may deploy malicious software to systems within a network using application deployment systems employed by enterprise administrators. The permissions required for this action vary by system configuration; local credentials may be sufficient with direct access to the deployment server, or specific domain credentials may be required. However, the system may require an administrative account to log in or to perform software deployment.</p><p>Access to a network-wide or enterprise-wide software deployment system enables an adversary to have remote code execution on all systems that are connected to such a system. The access may be used to laterally move to systems, gather information, or cause a specific effect, such as wiping the hard drives on all endpoints.</p>
                            </div>","Code Signing:=If the application deployment system can be configured to deploy only signed binaries, then ensure that the trusted signing certificates are not co-located with the application deployment system and are instead located on a system that cannot be accessed remotely or to which remote access is tightly controlled.||Multi-factor Authentication:=Use multi-factor authentication for accounts used with application deployment software.||Network Segmentation:=Ensure proper system and access isolation for critical network systems through use of firewalls, account privilege separation, group policy, and multi-factor authentication.||Privileged Account Management:=Grant access to application deployment systems only to a limited number of authorized administrators.  Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network.||Update Software:=Patch deployment systems regularly to prevent potential remote access through Exploitation for Privilege Escalation."
T1138,Application Shimming,"Persistence, Privilege Escalation",Windows,Administrator,,"Loaded DLLs, System calls, Windows Registry, Process monitoring, Process command-line parameters",,,,1,"<div class=""col-md-8 description-body"">
                                <p>The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. For example, the application shimming feature allows developers to apply fixes to applications (without rewriting code) that were created for Windows XP so that it will work with Windows 10. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Endgame Process Injection July 2017""></span> Within the framework, shims are created to act as a buffer between the program (or more specifically, the Import Address Table) and the Windows OS. When a program is executed, the shim cache is referenced to determine if the program requires the use of the shim database (.sdb). If so, the shim database uses Hooking to redirect the code as necessary in order to communicate with the OS. </p><p>A list of all shims currently installed by the default Windows installer (sdbinst.exe) is kept in:</p><ul><li><code>%WINDIR%\AppPatch\sysmain.sdb</code></li><li><code>hklm\software\microsoft\windows nt\currentversion\appcompatflags\installedsdb</code></li></ul><p>Custom databases are stored in:</p><ul><li><code>%WINDIR%\AppPatch\custom &amp; %WINDIR%\AppPatch\AppPatch64\Custom</code></li><li><code>hklm\software\microsoft\windows nt\currentversion\appcompatflags\custom</code></li></ul><p>To keep shims secure, Windows designed them to run in user mode so they cannot modify the kernel and you must have administrator privileges to install a shim. However, certain shims can be used to Bypass User Account Control (UAC) (RedirectEXE), inject DLLs into processes (InjectDLL), disable Data Execution Prevention (DisableNX) and Structure Exception Handling (DisableSEH), and intercept memory addresses (GetProcAddress). Similar to Hooking, utilizing these shims may allow an adversary to perform several malicious acts such as elevate privileges, install backdoors, disable defenses like Windows Defender, etc.</p>
                            </div>","Update Software:=Microsoft released an optional patch update - KB3045645 - that will remove the ""auto-elevate"" flag within the sdbinst.exe. This will prevent use of application shimming to bypass UAC.||User Account Control:=Changing UAC settings to ""Always Notify"" will give the user more visibility when UAC elevation is requested, however, this option will not be popular among users due to the constant UAC interruptions."
T1010,Application Window Discovery,Discovery,"macOS, Windows",User,,"API monitoring, Process monitoring, Process command-line parameters",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used or give context to information collected by a keylogger.</p><p>In Mac, this can be done natively with a small AppleScript script.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1123,Audio Capture,Collection,"Linux, macOS, Windows",User,,"API monitoring, Process monitoring, File monitoring",CAPEC-634,,,1,"<div class=""col-md-8 description-body"">
                                <p>An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.</p><p>Malware or scripts may be used to interact with the devices through an available API provided by the operating system or an application to capture audio. Audio files may be written to disk and exfiltrated later.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1131,Authentication Package,Persistence,Windows,Administrator,,"DLL monitoring, Windows Registry, Loaded DLLs",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Windows Authentication Package DLLs are loaded by the Local Security Authority (LSA) process at system start. They provide support for multiple logon processes and multiple security protocols to the operating system. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""MSDN Authentication Packages""></span></p><p>Adversaries can use the autostart mechanism provided by LSA Authentication Packages for persistence by placing a reference to a binary in the Windows Registry location <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\</code> with the key value of <code>""Authentication Packages""=<target binary></target></code>. The binary will then be executed by the system when the authentication packages are loaded.</p>
                            </div>","Privileged Process Integrity:=Windows 8.1, Windows Server 2012 R2, and later versions, may make LSA run as a Protected Process Light (PPL) by setting the Registry key HKLM\SYSTEM\CurrentControlSet\Control\Lsa\RunAsPPL, which requires all DLLs loaded by LSA to be signed by Microsoft."
T1119,Automated Collection,Collection,"Linux, macOS, Windows",User,,"File monitoring, Data loss prevention, Process command-line parameters",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of Scripting to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. This functionality could also be built into remote access tools. </p><p>This technique may incorporate use of other techniques such as File and Directory Discovery and Remote File Copy to identify and move files.</p>
                            </div>","Encrypt Sensitive Information:=Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. Strong passwords should be used on certain encrypted documents that use them to prevent offline cracking through Brute Force techniques.||Remote Data Storage:=Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means."
T1020,Automated Exfiltration,Exfiltration,"Linux, macOS, Windows",,,"File monitoring, Process monitoring, Process use of network",,,Yes,1,"<div class=""col-md-8 description-body"">
                                <p>Data, such as sensitive documents, may be exfiltrated through the use of automated processing or Scripting after being gathered during Collection. </p><p>When automated exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as Exfiltration Over Command and Control Channel and Exfiltration Over Alternative Protocol.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1139,Bash History,Credential Access,"Linux, macOS",User,,"File monitoring, Process monitoring, Process command-line parameters",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Bash keeps track of the commands users type on the command-line with the ""history"" utility. Once a user logs out, the history is flushed to the user&#8217;s <code>.bash_history</code> file. For each user, this file resides at the same location: <code>~/.bash_history</code>. Typically, this file keeps track of the user&#8217;s last 500 commands. Users often type usernames and passwords on the command-line as parameters to programs, which then get saved to this file when they log out. Attackers can abuse this by looking through the file for potential credentials. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""External to DA, the OS X Way""></span></p>
                            </div>","Operating System Configuration:=There are multiple methods of preventing a user's command history from being flushed to their .bash_history file, including use of the following commands:set +o history and set -o history to start logging again;unset HISTFILE being added to a user's .bash_rc file; andln -s /dev/null ~/.bash_history to write commands to /dev/nullinstead."
T1009,Binary Padding,Defense Evasion,"Linux, macOS, Windows",,,"Binary file metadata, File monitoring, Malware reverse engineering",CAPEC-572,"Martin Jirkal, ESET",,1.1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries can use binary padding to add junk data and change the on-disk representation of malware without affecting the functionality or behavior of the binary. This will often increase the size of the binary beyond what some security tools are capable of handling due to file size limitations.</p><p>Binary padding effectively changes the checksum of the file and can also be used to avoid hash-based blacklists and static anti-virus signatures.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""ESET OceanLotus""></span> The padding used is commonly generated by a function to create junk data and then appended to the end or applied to sections of malware.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Securelist Malware Tricks April 2017""></span> Increasing the file size may decrease the effectiveness of certain tools and detection capabilities that are not designed or configured to scan large files. This may also reduce the likelihood of being collected for analysis. Public file scanning services, such as VirusTotal, limits the maximum size of an uploaded file to be analyzed.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""VirusTotal FAQ""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1197,BITS Jobs,"Defense Evasion, Persistence",Windows,"User, Administrator, SYSTEM",,"API monitoring, Packet capture, Windows event logs",,Ricardo Dias; Red Canary,,1,"<div class=""col-md-8 description-body"">
                                <p>Windows Background Intelligent Transfer Service (BITS) is a low-bandwidth, asynchronous file transfer mechanism exposed through Component Object Model (COM). <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft COM""></span> <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft BITS""></span> BITS is commonly used by updaters, messengers, and other applications preferred to operate in the background (using available idle bandwidth) without interrupting other networked applications. File transfer tasks are implemented as BITS jobs, which contain a queue of one or more file operations.</p><p>The interface to create and manage BITS jobs is accessible through PowerShell  <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft BITS""></span> and the BITSAdmin tool. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Microsoft BITSAdmin""></span></p><p>Adversaries may abuse BITS to download, execute, and even clean up after running malicious code. BITS tasks are self-contained in the BITS job database, without new files or registry modifications, and often permitted by host firewalls. <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""CTU BITS Malware June 2016""></span> <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Mondok Windows PiggyBack BITS May 2007""></span> <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Symantec BITS May 2007""></span> BITS enabled execution may also allow Persistence by creating long-standing jobs (the default maximum lifetime is 90 days and extendable) or invoking an arbitrary program when a job completes or errors (including after system reboots). <span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""PaloAlto UBoatRAT Nov 2017""></span> <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""CTU BITS Malware June 2016""></span></p><p>BITS upload functionalities can also be used to perform Exfiltration Over Alternative Protocol. <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""CTU BITS Malware June 2016""></span></p>
                            </div>","Filter Network Traffic:=Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic.||Operating System Configuration:=Consider reducing the default BITS job lifetime in Group Policy or by editing the JobInactivityTimeout and MaxDownloadTime Registry values in  HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\BITS.||User Account Management:=Consider limiting access to the BITS interface to specific users or groups."
